Brief,Beleg,VK,Briefschreiber
"Jacob Grimm an Hirzel. Berlin, 18. Januar 1856","da er so wenig neigung für deutsche sprachforschung kund gibt, dasz er sich noch kein exemplar des werks hat mögen anschaffen",123,Jacob
"Jacob Grimm an Hirzel. Berlin, 30. Juli 1863","das meiste sind briefe von Carl August und ge15 schäfts oder gelegenheitsbriefe, hätten meintwegen können ungedruckt bleiben",132,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 16. Dezember 1860","zweiten ausgabe, die er ganz fertig hinterliesz und gerade so, wie geschehen ist, wollte gedruckt haben",132,Jacob
"Jacob Grimm an Hirzel. Kassel, 18. Juni 1839","ich höre aber seit-5 dem, dass er sich unwol soll befunden haben",132,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Göttingen, 6. September 1835","mutmassen, das ungenaue dichter auf ôt könnten gereimt haben",132,Jacob
"Jacob Grimm an Mone. Kassel, 28. April 1819",wiewohl ich mich selbst nie würde hineinbegeben haben,132,Jacob
"Jacob Grimm an Dorothea Grimm. Marburg, 6. Juni [1851].","dass er sie bei andrer gelegenheit möchte
kennen gelernt haben",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.","allein das was ihn doch noch
weit mehr würde geschmerzt haben zu verlieren",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. Mai 1814.",wie er dir selbst wird geschrieben haben,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 21. Oktober 1815.","weil nun alles Kunstwerk eingepackt war und bei mancherlei veränderten Umständen
Reise und Hierseyn viel würde gekostet haben",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 7. September 1838.","auf die ankunft der seinigen warten, die irgendwas muss zurückgehalten haben",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 7. September 1838.",die irgendwas muss zurückgehalten haben,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 18. April [1805].","zu gut, als daß du ihn
60 nicht solltest ausgeführt haben",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Regensburg,
22. und 23. September 1814.",wo du vielleicht schon alles wirst gelesen haben,132,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
 Kassel, 9. März 1812.","daß Sie gegen die kleine Änderung
in unserem Haushalt manches würden einzuwenden haben",132,Jacob
"Jacob Grimm an Wackernagel. Göttingen, 2. Januar 1836",Meinen Tacitus (aus dem Sie weniges werden brauchen können),132,Jacob
"Jacob Grimm an Hirzel. Berlin, 12. Oktober [1855]",ich zweifle ob ich zur versprochnen zeit das manuscript werde liefern können,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 2. April [1805].",obgleich man gegen das schlechte u. mittelmäßige stets nie despotisch genug wird verfahren können,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 5. bis 7. April [1814].",bis wie weit über Orleans er sich noch wird halten können,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 5. bis 7. April [1814].","daß ich selbst in Paris vor Lärmen, Zerstreuung u. Ar135 beit wenig Nachforschungen werde halten können",132,Jacob
"Jacob Grimm an Henriette Philippine Zimmer und
Dorothea Grimm geb. Zimmer. Paris, 26. März 1805.","wie Ihnen der junge Malsburg wird bezeugen
können",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 2. April [1805].","obgleich man gegen das schlechte u. mittelmäßige
stets nie despotisch genug wird verfahren können",132,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 5. September 1858","ich habe Ihnen noch nicht einmal Ihren aufsatz über Gotfrid ins gesicht hinein gelobt, was Sie sich von mir schon können gefallen lassen",132,Jacob
"Jacob Grimm an Hirzel. Berlin, 5. April 1857","so werden sie wieder zutreten, sobald das werk gehörig in gang kommt und doch die ersten bände nicht incomplet wollen liegen lassen",132,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 1. Januar 1822","Außerdem sende ich einen bogen von Ferraguut, den Sie beliebig können drucken laßen",132,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 6. März 1826","aber ich verstehe nicht, wie sich nur mündlich pläne und 105 herzensergießungen über unser gemeinschaftl. studium der deutschen sprache und literatur sollen bewerkstelligen laßen",132,Jacob
"Jacob (und Wilhelm) Grimm an Henriette Philippine Zimmer.
Kassel, 19. Februar 1810.","als ob Sie
keine Gelegenheit könnten vorbei gehen laßen",132,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 12. Februar 1858","Neulich fiel mir ein, was doch Ihren Megenberg aufhält, der schon vor einigen jahren sollte gedruckt sein? ",132,Jacob
"Jacob Grimm an Wackernagel. Berlin, 12. November 1856","ich besorge das publicum 35 wird über die ungleichheit des dargebotnen unzufrieden, was zum lob oder tadel keines von uns soll gesagt sein",132,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 6. März 1826",wobei doch gedanken und hände wollen zus.gehalten sein,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Gotha, [29. Mai 1811].",wenn auch einige der letzt verfallenen Coupons noch nicht sollten eingegangen seyn,132,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 8. Februar 1859",die hauptergebnisse hätten mehr sollen hervor gehoben werden,132,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 10. September 1851","allerdings hätte von den herausgebern mehr Sorgfalt können angewendet werden,",132,Jacob
"Jacob Grimm an Hirzel. Berlin, 26. September [1852]","worin angekündigtermaszen über schreibung und anderes, was ihn jetzt verwirrt, ausgekunft[!] soll gegeben werden",132,Jacob
"Jacob Grimm an Hirzel. Berlin, 21. Februar 1857","eben sitze ich über einer neuen, die den 12. merz soll gelesen werden",132,Jacob
"Wilhelm Grimm an Haupt. Berlin, 8. März 1844","Ob 10 wir das theoretisch richtige auch immer durchzusetzen haben, ist eine frage, die im einzelnen muß untersucht werden",132,Jacob
"Jacob Grimm an Hirzel. Kassel, 18. Juni 1839","Grüssen Sie mir Ihre frau, die das fieber in diesen warmen, heiteren tagen längst wird verlassen haben",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont, 19. März [1814]",ohne daß man wußte ob er würde begraben werden,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. und 3. Oktober [1814].",nur meinte er hätten die 80 beßer auf 60 sollen gebracht werden,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 11. und 13. Mai 1815.",daß er ebenso darf wiedergedruckt 80 werden,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 4. August 1805.",so hat es ihm müßen verboten werden,132,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 25. Juni 1809.","da ein Unersättlicher (lieber ein anderes Wort) durch 100 Bücher durchaus nicht mehr
wird befriedigt werden",132,Jacob
"Jacob Grimm an Wilhelm Grimm. Heidelberg, [6. April 1832].","weil er immer vom prinzen
5 wäre gerufen und befragt worden;",132,Jacob
"Wilhelm Grimm an Jacob Grimm. Kassel, 6. Oktober 1830.",wo die Unruhe war spatzieren gegangen,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 30. Dezember 1838","ein neuer Anfall von Krankheit, den irgendeine Verkäl- tung, wenn wir auch nicht wißen wie, muß veranlaßt haben.",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 7. und 9. November [lies Dezember] 1842","ein ausgezeichneter praktischer 30 rechtsgelehrter, der schöne studien muß gemacht haben",132,Wilhelm
"Wilhelm Grimm an Wackernagel. Berlin, 12. Februar 1853","Ich weiß durchaus nicht was Müllenhoff und Liliencron zu ungerechten äußerungen, die ich übrigens gelesen zu haben mich nicht erinnere, könnte bewogen haben",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 13. Juni 1841","Jacob hat weder das eine noch das andere gesagt, was Sie von seiner erio sten vorlesung bemerken, wiewol der berichterstatter es so mag verstanden haben.",132,Wilhelm
"Wilhelm Grimm an Mone. Kassel, 6. Dezember 1819","Sie haben doch von den Steinen gehört, die man in unserm Lande gefunden und auf welchen man alte Charaktere will entdeckt haben",132,Wilhelm
